Name,Stack,기간
SuperShy,"CapacitorJS, Hono, MySQL, Solid-JS","December 1, 2024 → June 30, 2025"
포트폴리오,"Lua, Neovim","July 1, 2024"
Planet Merge,"Javascript, Phaser.JS","January 31, 2024"
Maillist,"Hono, SQLite, Typescript, VULTR","January 1, 2024 → December 31, 2024"
마이복,"CloudFlare Pages, React, Typescript","December 31, 2023"
Formlid-js,"OpenSource, Solid-JS, Typescript","March 1, 2023"
Ottle,"CloudFlare Pages, Firebase, React, Redux","July 8, 2022"
Dorage.io,"CloudFlare Pages, React","June 23, 2022"
삼꾸미집,"AWS Lambda, CSS, CloudFlare Pages, HTML, Javascript, Naver SENS API","January 28, 2022 → February 2, 2022"
PIWIMI,"Javascript, PUG, PostgreSQL, VULTR","July 1, 2021"
넷플릭스 스타일 슬라이더,"Javascript, Netlify, React","September 11, 2020"
Night Drive,"Javascript, PIXI.JS, React","July 25, 2020"
소개팅연구소,"Dart, Flutter, Javascript, React","June 7, 2020 → November 7, 2020"
벚꽃클리커,Unity,"July 2, 2019"
CATLOVER,"AWS EC2, ExpressJS, Javascript, MongoDB, Python, React","June 23, 2019 → November 8, 2019"
FAW (Fucking Awesome Weather),"Javascript, Netlify, React","May 27, 2019"
